English,Mon,Original_Definition
Take note.  ချူကၞာတ်။,ချူသမ္တီ,"(v) note down, take note. [id] ချူကၞာတ်။"
Take notice,ပကာ,"(v) to heed, take notice, to be, to perform, to make. [id] သ္ပကာ၊ စွံသတိ။"
Take notice,သမ္တီသမှတ်,"(v) to mark, take notice, to regard. [id.] သမ္တီသၟတ်၊ သမ္တီညာတ်ကေတ်။"
Take notice of,ထောံသ္တိ,"(v) take heed, take notice of."
Take off,ခလောတ်,"(v) to slip, come off, to strip, peel, take off, fall out. [id] ထလောတ်။"
Take off,ထလောတ်,"(v) to slip, come off, to strip, peel, take off."
Take off,ဖလောတ်,"(v) to slip, come off, to trip peel, take off."
Take offer,သၟုၚ်,"1 (n) drinker, drinker, one who drinks, drinking, take offer."
Take on a dispute with the king,သီခနှံဒှ်ဝါတ်ကဵုသၟိၚ်,(v) take on a dispute with the king.
Take or bring with oneself,ဂိုၚ်နၚ်,"(v) take or bring with oneself, bring away. [id] ကေတ်ဏာ။"
Take or clear the mote out of his eyes,သၟးလမၠံပ္ဍဲမတ်,(v) take or clear the mote out of his eyes.
Take out,နုက်ပ္တိတ်,"(v) to remove, take out, take out of, as the person out of jail."
Take out of,နုက်ပ္တိတ်,"(v) to remove, take out, take out of, as the person out of jail."
Take out.  တၟံက်၊ ဂၠံက်၊ ဍံပ္တိတ်။,ကၟံက်,(v) take out. [id] တၟံက်၊ ဂၠံက်၊ ဍံပ္တိတ်။
Take over,ကေတ်ဂွံ,"(v) take over, take possession of."
Take over an office or position,သီဗ္ၜောဝ်,"(v) confiscate, succeed to, take over an office or position, to absorb knowledge. [id.] သီသ္ၜောဝ်။"
Take part,ကလိုဟ်,"ကလိုဟ်လဝ် (v) take part, inform, make known, intimate."
Take part,ကလိုဟ်လဝ်,"(v) take part, inform, make known, intimate."
Take part in a service,တိုန်ဝတ်,"(v) to worship, recite prayers in a group, take part in a service, to worship."
Take part in the water throwing festivities,တိတ်ဒုၚ်ဍာ်,(v) take part in the water throwing festivities.
Take place,ဒှ်ကၠုၚ်,"(v) happen, occur, take place."
Take pleasure in,ဒုၚ်စသိုၚ်,"(v) enjoy fruition. [Der.] စသိုၚ် (v) delight in, take pleasure in."
Take possession of,ကေတ်ဂွံ,"(v) take over, take possession of."
Take possession of something forcibly,လုပ်ဍိုက်ကေတ်,"(v) {derog} usurp, take possession of something forcibly, misappropriate."
Take power over,သ္ကေံက္ၜတ်,"(v) to seize, take power over, to obtain influence over."
Take power over.    စံတ္ၜတ်  to feel,တ္ၜတ်,"4 (v) ကေံတ္ၜတ် (v) to seize, take power over.    စံတ္ၜတ် (v) to feel, palpate.    သီတ္ၜတ် (v) to gather up, to take up.    [Der.] တ္ၜတ်တဲ (n) fist."
Take power over.    စံၜတ်  to feel,က္ၜတ်,"3 (v) [id] တ္ၜတ်၊ ၜတ်။    ကေံတ္ၜတ် (v) to seize, take power over.    စံၜတ် (v) to feel, palpate.    သီက္ၜတ် (v) to gather up.    [Der.] တ္ၜတ်တဲ(ယ်) (n) fist.    တ္ၜတ်သ္ကေံ(မ်) (v) to take in the hand."
Take power over.    စံၜတ်  to feel,ၜတ်,"4 (v) ကေံၜတ် (v) to seize, take power over.    စံၜတ် (v) to feel, palpate.    သီၜတ် (v) to gather up.    [Der.] ၜတ်တဲ(ယ်) (n) fist. [Var.] တ္ၜတ်။"
Take prisoner in war.  သီဂွံဂၠုဲ၊ ဂၠုဲ။,ရပ်ဂွံဂၠုဲ,(v) take prisoner in war. [id.] သီဂွံဂၠုဲ(ယ်)၊ ဂၠုဲ(ယ်)။
Take profit,စပရဲ,(v) take profit.
